lr_fpr,lr_tpr,tree_fpr,tree_tpr,rf_fpr,rf_tpr,svc_fpr,svc_tpr,gbc_fpr,gbc_tpr
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.008130081300813009,0.004398826979472141,0.17886178861788618,0.0,0.008130081300813009,0.0,0.008130081300813009,0.0,0.008130081300813009
0.0,0.0975609756097561,0.02785923753665689,0.5609756097560976,0.0,0.13008130081300814,0.0,0.056910569105691054,0.0,0.056910569105691054
0.001466275659824047,0.0975609756097561,0.03812316715542522,0.5609756097560976,0.001466275659824047,0.13008130081300814,0.001466275659824047,0.056910569105691054,0.001466275659824047,0.056910569105691054
0.001466275659824047,0.10569105691056911,0.24193548387096775,0.7886178861788617,0.001466275659824047,0.22764227642276422,0.001466275659824047,0.2601626016260163,0.001466275659824047,0.17073170731707318
0.002932551319648094,0.10569105691056911,0.45161290322580644,0.9024390243902439,0.002932551319648094,0.22764227642276422,0.004398826979472141,0.2601626016260163,0.002932551319648094,0.17073170731707318
0.002932551319648094,0.13821138211382114,0.9193548387096774,0.991869918699187,0.002932551319648094,0.2764227642276423,0.004398826979472141,0.3008130081300813,0.002932551319648094,0.3089430894308943
0.004398826979472141,0.13821138211382114,1.0,1.0,0.004398826979472141,0.2764227642276423,0.007331378299120235,0.3008130081300813,0.004398826979472141,0.3089430894308943
0.004398826979472141,0.3170731707317073,,,0.004398826979472141,0.2845528455284553,0.007331378299120235,0.3089430894308943,0.004398826979472141,0.34146341463414637
0.005865102639296188,0.3170731707317073,,,0.007331378299120235,0.2845528455284553,0.008797653958944282,0.3089430894308943,0.008797653958944282,0.34146341463414637
0.005865102639296188,0.3333333333333333,,,0.007331378299120235,0.3821138211382114,0.008797653958944282,0.34959349593495936,0.008797653958944282,0.43902439024390244
0.008797653958944282,0.3333333333333333,,,0.008797653958944282,0.3821138211382114,0.010263929618768328,0.34959349593495936,0.011730205278592375,0.43902439024390244
0.008797653958944282,0.35772357723577236,,,0.008797653958944282,0.4146341463414634,0.010263929618768328,0.35772357723577236,0.011730205278592375,0.44715447154471544
0.010263929618768328,0.35772357723577236,,,0.010263929618768328,0.4146341463414634,0.011730205278592375,0.35772357723577236,0.013196480938416423,0.44715447154471544
0.010263929618768328,0.37398373983739835,,,0.010263929618768328,0.43902439024390244,0.011730205278592375,0.43089430894308944,0.013196480938416423,0.4715447154471545
0.011730205278592375,0.37398373983739835,,,0.011730205278592375,0.43902439024390244,0.013196480938416423,0.43089430894308944,0.016129032258064516,0.4715447154471545
0.011730205278592375,0.4065040650406504,,,0.011730205278592375,0.4634146341463415,0.013196480938416423,0.43902439024390244,0.016129032258064516,0.4959349593495935
0.013196480938416423,0.4065040650406504,,,0.013196480938416423,0.4634146341463415,0.01466275659824047,0.43902439024390244,0.017595307917888565,0.4959349593495935
0.013196480938416423,0.4146341463414634,,,0.013196480938416423,0.4796747967479675,0.01466275659824047,0.45528455284552843,0.017595307917888565,0.5040650406504065
0.016129032258064516,0.4146341463414634,,,0.01466275659824047,0.4796747967479675,0.016129032258064516,0.45528455284552843,0.01906158357771261,0.5040650406504065
0.016129032258064516,0.43902439024390244,,,0.01466275659824047,0.4878048780487805,0.016129032258064516,0.4796747967479675,0.01906158357771261,0.5121951219512195
0.017595307917888565,0.43902439024390244,,,0.016129032258064516,0.4878048780487805,0.024926686217008796,0.4796747967479675,0.020527859237536656,0.5121951219512195
0.017595307917888565,0.44715447154471544,,,0.016129032258064516,0.5040650406504065,0.024926686217008796,0.5040650406504065,0.020527859237536656,0.5284552845528455
0.021994134897360705,0.44715447154471544,,,0.021994134897360705,0.5040650406504065,0.02932551319648094,0.5040650406504065,0.024926686217008796,0.5284552845528455
0.021994134897360705,0.4634146341463415,,,0.021994134897360705,0.5121951219512195,0.02932551319648094,0.5121951219512195,0.024926686217008796,0.5365853658536586
0.02346041055718475,0.4634146341463415,,,0.02346041055718475,0.5121951219512195,0.030791788856304986,0.5121951219512195,0.026392961876832845,0.5365853658536586
0.02346041055718475,0.4796747967479675,,,0.02346041055718475,0.5203252032520326,0.030791788856304986,0.5203252032520326,0.026392961876832845,0.5447154471544715
0.024926686217008796,0.4796747967479675,,,0.024926686217008796,0.5203252032520326,0.03225806451612903,0.5203252032520326,0.02932551319648094,0.5447154471544715
0.024926686217008796,0.4959349593495935,,,0.024926686217008796,0.5284552845528455,0.03225806451612903,0.5609756097560976,0.02932551319648094,0.5609756097560976
0.02932551319648094,0.4959349593495935,,,0.026392961876832845,0.5284552845528455,0.04252199413489736,0.5609756097560976,0.030791788856304986,0.5609756097560976
0.02932551319648094,0.5040650406504065,,,0.026392961876832845,0.5365853658536586,0.04252199413489736,0.5691056910569106,0.030791788856304986,0.5853658536585366
0.030791788856304986,0.5040650406504065,,,0.02932551319648094,0.5365853658536586,0.04398826979472141,0.5691056910569106,0.036656891495601175,0.5853658536585366
0.030791788856304986,0.5121951219512195,,,0.02932551319648094,0.5528455284552846,0.04398826979472141,0.5772357723577236,0.036656891495601175,0.6016260162601627
0.03225806451612903,0.5121951219512195,,,0.03372434017595308,0.5528455284552846,0.045454545454545456,0.5772357723577236,0.04105571847507331,0.6016260162601627
0.03225806451612903,0.5365853658536586,,,0.03372434017595308,0.5691056910569106,0.045454545454545456,0.5934959349593496,0.04105571847507331,0.6097560975609756
0.03812316715542522,0.5365853658536586,,,0.03519061583577713,0.5691056910569106,0.04985337243401759,0.5934959349593496,0.04398826979472141,0.6097560975609756
